id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,location
6316186,Quiet private room (no fees),461733,Galit (Gail),,78745,30.216972162259506,-97.80503991072048,Private room,75,1,9,2015-10-13,1.50,1,20,POINT(-97.80503991072048 30.216972162259506)
8609730,Townhouse off of South Congress,45294316,Shelby,,78745,30.207335209856076,-97.77541102515676,Entire home/apt,250,1,0,,,1,14,POINT(-97.77541102515676 30.207335209856076)
8320268,Cozy BR - 15 minutes from DT!,5150537,Michael,,78745,30.192969357136548,-97.82950260788118,Private room,38,1,4,2015-10-15,2.14,2,350,POINT(-97.82950260788118 30.192969357136548)
5010742,Great 4 Bedroom Home,383058,,,78745,30.21307184801656,-97.80456968839805,Entire home/apt,320,2,2,2015-04-12,0.25,1,344,POINT(-97.80456968839805 30.21307184801656)
7780896,Urban Suburban GetAway,40939251,Pamela,,78745,30.188180469194748,-97.80108984405007,Private room,73,1,0,,,1,365,POINT(-97.80108984405007 30.188180469194748)
8614941,ACL weekend,29219930,Angie,,78745,30.211583256638622,-97.78874451944823,Private room,150,1,1,2015-10-11,1,2,13,POINT(-97.78874451944823 30.211583256638622)
5682948,Toyota Van to EZcamp in,1568741,Jim O',,78745,30.208153897826385,-97.76956114452874,Private room,30,2,0,,,15,365,POINT(-97.76956114452874 30.208153897826385)
931353,GREAT HOUSE FOR SXSW,5016185,Dani,,78745,30.2232635473572,-97.79135569616618,Entire home/apt,500,1,0,,,1,365,POINT(-97.79135569616618 30.2232635473572)
4076557,Newly Renovated So. Austin getaway,21144180,Peter,,78745,30.223162662427317,-97.77665861346281,Entire home/apt,135,2,25,2015-10-19,2.03,1,165,POINT(-97.77665861346281 30.223162662427317)
8238039,Quiet Apartment for November!,43442543,Kendall,,78745,30.20020527899281,-97.77106958059885,Entire home/apt,110,1,1,2015-11-07,1,1,22,POINT(-97.77106958059885 30.20020527899281)
373636,Stay at Chateau Richard for SXSW,7649,Dot,,78745,30.186627566687832,-97.78480254744093,Private room,125,3,0,,,1,365,POINT(-97.78480254744093 30.186627566687832)
8566839,Texas Homestead Bunk Room,38593308,Conor,,78745,30.22776125195661,-97.78087555470678,Shared room,25,2,1,2015-10-25,1,5,365,POINT(-97.78087555470678 30.22776125195661)
6690195,Cozy 1 bedroom Soco Apt,35016589,Tara,,78745,30.219679361795496,-97.77010654017408,Entire home/apt,69,1,10,2015-08-07,2.24,1,115,POINT(-97.77010654017408 30.219679361795496)
4141322,Apartment available for for ACL,916736,Cavason,,78745,30.22165459627087,-97.79176756604782,Entire home/apt,150,1,0,,,1,365,POINT(-97.79176756604782 30.22165459627087)
1919207,"Good room for F1, 5minutes to metro",9586902,Mathew,,78745,30.215074095320343,-97.81770316052607,Private room,150,1,0,,,1,365,POINT(-97.81770316052607 30.215074095320343)
979857,1 bdm&bath in a SOCO apt for SXSW,5363380,Mandi,,78745,30.19903442755802,-97.7758645664772,Private room,100,1,0,,,1,309,POINT(-97.7758645664772 30.19903442755802)
5190791,Spacious 2 Story Home ACL F1 Summer,17962235,Brendan,,78745,30.19325633506123,-97.83114066753083,Entire home/apt,175,3,3,2015-08-09,0.39,1,344,POINT(-97.83114066753083 30.19325633506123)
372254,EZCamping in near SxSAustin!6,1568741,Jim O',,78745,30.20981078689875,-97.77036769418477,Entire home/apt,14,2,9,2015-10-05,0.23,15,365,POINT(-97.77036769418477 30.20981078689875)
8825614,Spacious Room in South Austin,46227639,Melanie,,78745,30.201684233735286,-97.76922636735969,Private room,50,1,2,2015-10-26,2,1,365,POINT(-97.76922636735969 30.201684233735286)
6400579,Beautiful Modern South Austin 3/2.5,25954534,Joel,,78745,30.22182527927386,-97.78085378651807,Entire home/apt,369,2,0,,,1,7,POINT(-97.78085378651807 30.22182527927386)
5318910,"Spacious town home, moments from DT",9408015,Jillian,,78745,30.219484153183508,-97.79265148423843,Entire home/apt,700,1,0,,,1,243,POINT(-97.79265148423843 30.219484153183508)
1124510,Charming Loft in Austin,1666088,Edith,,78745,30.2212408507752,-97.77933163483705,Private room,50,1,64,2015-10-17,2.80,3,53,POINT(-97.77933163483705 30.2212408507752)
172104,South Austin- close to the action!,746286,Isabel,,78745,30.193175620237735,-97.82095101635943,Entire home/apt,100,1,1,2015-07-09,0.25,2,78,POINT(-97.82095101635943 30.193175620237735)
5217975,GREAT GROUP HOUSE  FOR PSYCHFEST!!!,3638285,Jenifer,,78745,30.185627273732674,-97.77893319624951,Entire home/apt,200,2,1,2015-03-23,0.13,1,254,POINT(-97.77893319624951 30.185627273732674)
8035781,Private Bedroom/South Austin,17406846,Emily,,78745,30.211881233323094,-97.78202608063901,Private room,55,2,4,2015-10-26,3.33,1,358,POINT(-97.78202608063901 30.211881233323094)
5447513,SXSW room & private bath (South),28257291,Beth,,78745,30.22243778115123,-97.80486602338343,Private room,100,1,1,2015-03-23,0.13,1,230,POINT(-97.80486602338343 30.22243778115123)
8514333,Peaceful South Austin Getaway,15108597,Rachel,,78745,30.2063439276187,-97.79784955145823,Entire home/apt,60,2,0,,,1,52,POINT(-97.79784955145823 30.2063439276187)
8654242,Great home & location for ACL & F1!,10123594,Jayme And Joey,,78745,30.211493972096854,-97.78364469144708,Entire home/apt,399,2,0,,,1,11,POINT(-97.78364469144708 30.211493972096854)
4262528,South Austin Retreat 15min to DT,22123702,Julia Celeste,,78745,30.19129404116682,-97.81641300521207,Entire home/apt,235,4,2,2015-03-23,0.25,1,76,POINT(-97.81641300521207 30.19129404116682)
9208223,Spacious 1-bedroom in South Austin,7882884,Priscilla,,78745,30.20470243678782,-97.77175813071626,Entire home/apt,90,3,0,,,1,7,POINT(-97.77175813071626 30.20470243678782)
